Date,Berri 1,Brébeuf (données non disponibles),Côte-Sainte-Catherine,Maisonneuve 1,Maisonneuve 2,du Parc,Pierre-Dupuy,Rachel1,St-Urbain (données non disponibles)
2012-02-19,169,,3,110,205,113,13,2,
2012-01-13,75,,0,41,105,64,2,0,
2012-10-16,3739,,1858,2684,4681,2997,554,3593,
2012-05-19,4732,,1454,2807,4673,1966,2914,5293,
2012-09-14,5216,,2257,3480,6104,3574,1524,4918,
2012-06-28,6064,,2381,4411,6864,3523,2415,5175,
2012-09-29,1896,,755,1206,1963,1062,442,2267,
2012-05-07,6672,,2603,4830,7764,3816,2746,5153,
2012-01-09,3934,,1225,2371,3917,1887,2801,3845,
2012-10-25,3735,,1815,2528,5010,3017,631,3767,
2012-11-05,4639,,1803,3663,5713,2888,1260,4499,
2012-02-07,4144,,1397,2658,3998,1883,2783,4464,
2012-06-15,7077,,2469,4999,7663,4053,2293,6491,
2012-06-08,5240,,2277,3193,6375,3187,2274,4604,
2012-12-08,3995,,1338,1937,3427,1719,2988,4178,
2012-10-18,4671,,2292,3129,5542,3477,1108,4245,
2012-07-03,438,,3,290,715,266,28,0,
2012-04-02,84,,0,53,119,44,8,0,
2012-05-23,5974,,2650,4407,7281,3737,1826,4798,
2012-01-27,91,,5,79,204,65,0,0,
2012-01-29,87,,1,65,132,40,7,0,
2012-05-08,1864,,630,1100,2327,970,1066,2268,
2012-07-30,5225,,2285,2975,6219,3196,2564,5100,
2012-08-29,6327,,3092,4370,7009,3759,2152,5342,
2012-08-17,4236,,1777,3099,4979,2581,586,4154,
2012-10-29,2919,,1458,2071,3768,2440,411,2795,
2012-08-16,6062,,2538,3898,6549,3366,1549,4943,
2012-09-22,1521,,656,1073,1682,971,365,1974,
2012-08-01,95,,1,62,98,64,11,63,
2012-06-25,2245,,1077,1374,3031,1440,1349,3283,
2012-02-29,242,,0,164,446,190,7,4,
2012-06-06,6037,,2724,4273,7822,3987,1223,5269,
2012-08-30,6003,,2910,4199,6781,3481,1796,5202,
2012-02-21,441,,5,292,503,286,10,6,
2012-08-10,1854,,880,987,1818,1040,1115,2502,
2012-07-21,5092,,1419,2957,4658,1821,3835,4848,
2012-03-29,878,,406,646,1264,807,78,937,
2012-05-20,5255,,1663,2730,4462,2182,4241,5539,
2012-03-16,423,,149,305,695,419,9,422,
2012-10-22,3650,,1819,2495,4800,3023,757,3721,
2012-09-01,244,,2,165,432,198,12,173,
2012-07-28,4105,,1345,2504,4540,1767,2468,4631,
2012-05-03,155,,1,114,363,157,8,2,
2012-06-05,3411,,1525,1815,3346,1879,2036,4633,
2012-01-11,2405,,1208,1701,3082,2076,165,2461,
2012-02-06,943,,392,630,1289,628,71,1436,
2012-01-05,1986,,815,1722,2766,1516,195,1960,
2012-01-20,161,,4,96,217,67,1,1,
2012-05-09,5655,,2722,3861,7110,4061,1383,4491,
2012-10-05,2755,,1227,2130,4056,2075,399,2437,
2012-07-04,1208,,494,739,1445,709,598,1566,
2012-06-22,5398,,1934,3612,6659,3252,2009,5263,
2012-05-05,3492,,1366,2106,3696,1779,1677,4108,
2012-01-21,53,,0,47,70,32,1,0,
