IE_XML_ID;IE_NAME;IP_PROP30;IP_PROP31;IP_PROP32;CP_QUANTITY;CR_PRICE_1_USD
269;Платье Весенняя Легкость;purple;;S;0;43.6
529;Туфли Ультра Лайн;white;35.0;;100;40.69
590;Ремень Радуга;brown;;XS;100;5.67
536;Туфли Ультра Лайн;red;35.0;;100;40.69
234;Штаны Цветочная Поляна;white;;XL;100;31.97
553;Туфли Ультра Лайн;brown;37.0;;100;40.69
204;Штаны Полосатый Рейс;blue;;M;100;29.06
209;Штаны Жизнь в Абстракции;redblue;;L;99;27.61
347;Нижнее белье Розовое Смущенье;pink;;M;100;17.43
382;Футболка Женская Ночь;black;;XS;100;11.03
276;Платье Ночная Жизнь;black;;XS;100;65.4
559;Ремень Радуга;purple;;L;100;5.67
460;Спортивный Костюм Вечерний Спорт;white;;XL;100;39.24
524;Туфли Ультра Лайн;jeans;36.0;;100;40.69
436;Спортивный Костюм Элегантность в Ночи;black;;S;100;36.78
538;Туфли Ультра Лайн;red;36.0;;100;40.69
453;Спортивный Костюм Дыхание Спорта;white;;M;100;38.23
408;Спортивный Костюм Нежная Теплота;azure;;XL;100;33.87
357;Нижнее белье Ночь наступает;black;;S;100;22.66
616;Ремень Элегантность;brown;;M;100;10.61
381;Футболка Женская Ночь;black;;XL;100;11.03
580;Ремень Радуга;blue;;L;100;5.67
479;Домашние Тапочки Любимый Спорт;brown;36.0;;100;14.52
635;Ремень Плетение;red;;S;100;10.9
285;Платье Красная Фея;red;;XS;100;58.13
346;Нижнее белье Розовое Смущенье;pink;;XS;100;17.43
545;Туфли Ультра Лайн;flowers;36.0;;100;40.69
578;Ремень Радуга;pink;;S;100;5.67
617;Ремень Элегантность;brown;;S;100;10.61
458;Спортивный Костюм Вечерний Спорт;white;;L;100;39.24
214;Штаны Жизнь в Абстракции;redblue;;S;100;27.61
415;Спортивный Костюм Огонь в Ночи;black;;L;100;36.33
304;Нижнее белье Белая Свобода;white;;M;100;20.34
190;Штаны Полосатый Рейс;green;;M;99;29.06
319;Нижнее белье Интимный Вечер;black;;XS;100;17.43
336;Нижнее белье Огонек в Ночи;black;;XL;100;21.79
