IE_XML_ID;IE_NAME;IP_PROP30;IP_PROP31;IP_PROP32;CP_QUANTITY;CR_PRICE_1_USD
179;Штаны Полосатый Рейс;purple;;L;99;29.06
181;Штаны Полосатый Рейс;purple;;XL;100;29.06
182;Штаны Полосатый Рейс;purple;;XS;100;29.06
183;Штаны Полосатый Рейс;purple;;M;100;29.06
184;Штаны Полосатый Рейс;purple;;S;100;29.06
186;Штаны Полосатый Рейс;green;;L;100;29.06
188;Штаны Полосатый Рейс;green;;XL;100;29.06
189;Штаны Полосатый Рейс;green;;XS;100;29.06
190;Штаны Полосатый Рейс;green;;M;99;29.06
191;Штаны Полосатый Рейс;green;;S;100;29.06
193;Штаны Полосатый Рейс;brown;;L;100;29.06
195;Штаны Полосатый Рейс;brown;;XL;100;29.06
196;Штаны Полосатый Рейс;brown;;XS;100;29.06
197;Штаны Полосатый Рейс;brown;;M;100;29.06
198;Штаны Полосатый Рейс;brown;;S;100;29.06
200;Штаны Полосатый Рейс;blue;;L;100;29.06
202;Штаны Полосатый Рейс;blue;;XL;100;29.06
203;Штаны Полосатый Рейс;blue;;XS;100;29.06
204;Штаны Полосатый Рейс;blue;;M;100;29.06
205;Штаны Полосатый Рейс;blue;;S;100;29.06
209;Штаны Жизнь в Абстракции;redblue;;L;99;27.61
211;Штаны Жизнь в Абстракции;redblue;;XL;100;27.61
212;Штаны Жизнь в Абстракции;redblue;;XS;100;27.61
213;Штаны Жизнь в Абстракции;redblue;;M;100;27.61
214;Штаны Жизнь в Абстракции;redblue;;S;100;27.61
216;Штаны Жизнь в Абстракции;orangered;;L;100;27.61
218;Штаны Жизнь в Абстракции;orangered;;XL;100;27.61
219;Штаны Жизнь в Абстракции;orangered;;XS;99;27.61
220;Штаны Жизнь в Абстракции;orangered;;M;100;27.61
221;Штаны Жизнь в Абстракции;orangered;;S;99;27.61
225;Штаны Цветочная Поляна;purple;;L;100;31.97
227;Штаны Цветочная Поляна;purple;;XL;100;31.97
228;Штаны Цветочная Поляна;purple;;XS;100;31.97
229;Штаны Цветочная Поляна;purple;;M;100;31.97
230;Штаны Цветочная Поляна;purple;;S;100;31.97
232;Штаны Цветочная Поляна;white;;L;100;31.97
234;Штаны Цветочная Поляна;white;;XL;100;31.97
235;Штаны Цветочная Поляна;white;;XS;100;31.97
236;Штаны Цветочная Поляна;white;;M;100;31.97
237;Штаны Цветочная Поляна;white;;S;100;31.97
239;Штаны Цветочная Поляна;red;;L;100;31.97
241;Штаны Цветочная Поляна;red;;XL;100;31.97
242;Штаны Цветочная Поляна;red;;XS;100;31.97
243;Штаны Цветочная Поляна;red;;M;100;31.97
244;Штаны Цветочная Поляна;red;;S;100;31.97
246;Штаны Цветочная Поляна;green;;L;100;31.97
248;Штаны Цветочная Поляна;green;;XL;100;31.97
249;Штаны Цветочная Поляна;green;;XS;100;31.97
250;Штаны Цветочная Поляна;green;;M;100;31.97
251;Штаны Цветочная Поляна;green;;S;100;31.97
255;Платье Модница на Прогулке;blue;;L;100;72.67
257;Платье Модница на Прогулке;blue;;XL;100;72.67
258;Платье Модница на Прогулке;blue;;XS;100;72.67
259;Платье Модница на Прогулке;blue;;M;0;72.67
260;Платье Модница на Прогулке;blue;;S;0;72.67
264;Платье Весенняя Легкость;purple;;L;100;43.6
266;Платье Весенняя Легкость;purple;;XL;100;43.6
267;Платье Весенняя Легкость;purple;;XS;0;43.6
268;Платье Весенняя Легкость;purple;;M;0;43.6
269;Платье Весенняя Легкость;purple;;S;0;43.6
273;Платье Ночная Жизнь;black;;L;100;65.4
275;Платье Ночная Жизнь;black;;XL;100;65.4
276;Платье Ночная Жизнь;black;;XS;100;65.4
277;Платье Ночная Жизнь;black;;M;100;65.4
278;Платье Ночная Жизнь;black;;S;100;65.4
282;Платье Красная Фея;red;;L;99;58.13
284;Платье Красная Фея;red;;XL;100;58.13
285;Платье Красная Фея;red;;XS;100;58.13
286;Платье Красная Фея;red;;M;99;58.13
287;Платье Красная Фея;red;;S;99;58.13
291;Нижнее белье Морская Волна;see;;L;100;18.88
293;Нижнее белье Морская Волна;see;;XL;100;18.88
294;Нижнее белье Морская Волна;see;;XS;100;18.88
295;Нижнее белье Морская Волна;see;;M;100;18.88
296;Нижнее белье Морская Волна;see;;S;100;18.88
300;Нижнее белье Белая Свобода;white;;L;100;20.34
302;Нижнее белье Белая Свобода;white;;XL;99;20.34
303;Нижнее белье Белая Свобода;white;;XS;100;20.34
304;Нижнее белье Белая Свобода;white;;M;100;20.34
305;Нижнее белье Белая Свобода;white;;S;100;20.34
309;Нижнее белье Интимный Вечер;white;;L;100;15.98
311;Нижнее белье Интимный Вечер;white;;XL;100;15.98
312;Нижнее белье Интимный Вечер;white;;XS;100;15.98
313;Нижнее белье Интимный Вечер;white;;M;100;15.98
314;Нижнее белье Интимный Вечер;white;;S;100;15.98
316;Нижнее белье Интимный Вечер;black;;L;100;17.43
318;Нижнее белье Интимный Вечер;black;;XL;100;17.43
319;Нижнее белье Интимный Вечер;black;;XS;100;17.43
320;Нижнее белье Интимный Вечер;black;;M;100;17.43
321;Нижнее белье Интимный Вечер;black;;S;100;17.43
325;Нижнее белье Ночь Морозных Узоров;black;;L;100;21.21
327;Нижнее белье Ночь Морозных Узоров;black;;XL;100;21.21
